placement,resnet_k,sid,device,sap,skip
All-GPU,0,2,GPU,0.1214,0.0
All-GPU,0,22,GPU,0.211,0.0
All-GPU,0,3,GPU,0.1557,0.0
All-GPU,0,21,GPU,0.1149,0.0
All-NPU,0,2,NPU,0.109,0.0
All-NPU,0,22,NPU,0.1912,0.0
All-NPU,0,3,NPU,0.1214,0.0
All-NPU,0,21,NPU,0.0836,0.0
mixed2,0,2,NPU,0.109,0.0
mixed2,0,22,NPU,0.1912,0.0
mixed2,0,3,GPU,0.1557,0.0
mixed2,0,21,GPU,0.1149,0.0
All-GPU,1,2,GPU,0.1014,38.2
All-GPU,1,22,GPU,0.2021,43.4
All-GPU,1,3,GPU,0.1199,41.1
All-GPU,1,21,GPU,0.086,39.7
All-NPU,1,2,NPU,0.109,0.0
All-NPU,1,22,NPU,0.1912,0.0
All-NPU,1,3,NPU,0.1214,0.0
All-NPU,1,21,NPU,0.0836,0.0
mixed2,1,2,NPU,0.109,0.0
mixed2,1,22,NPU,0.1912,0.0
mixed2,1,3,GPU,0.1411,12.4
mixed2,1,21,GPU,0.1053,11.9
All-GPU,2,2,GPU,0.0937,57.8
All-GPU,2,22,GPU,0.1946,56.0
All-GPU,2,3,GPU,0.1039,54.3
All-GPU,2,21,GPU,0.0796,54.9
All-NPU,2,2,NPU,0.109,0.0
All-NPU,2,22,NPU,0.1912,0.0
All-NPU,2,3,NPU,0.1214,0.0
All-NPU,2,21,NPU,0.0836,0.0
mixed2,2,2,NPU,0.109,0.0
mixed2,2,22,NPU,0.1912,0.0
mixed2,2,3,GPU,0.1185,28.5
mixed2,2,21,GPU,0.092,27.7
All-GPU,3,2,GPU,0.0906,68.9
All-GPU,3,22,GPU,0.1923,65.9
All-GPU,3,3,GPU,0.099,69.1
All-GPU,3,21,GPU,0.0746,62.0
All-NPU,3,2,NPU,0.109,0.0
All-NPU,3,22,NPU,0.1912,0.0
All-NPU,3,3,NPU,0.1214,0.0
All-NPU,3,21,NPU,0.0836,0.0
mixed2,3,2,NPU,0.109,0.0
mixed2,3,22,NPU,0.1912,0.0
mixed2,3,3,GPU,0.1034,41.5
mixed2,3,21,GPU,0.0825,39.5
All-GPU,4,2,GPU,0.0891,68.1
All-GPU,4,22,GPU,0.1898,71.1
All-GPU,4,3,GPU,0.0989,70.9
All-GPU,4,21,GPU,0.0706,74.5
All-NPU,4,2,NPU,0.109,0.0
All-NPU,4,22,NPU,0.1912,0.0
All-NPU,4,3,NPU,0.1214,0.0
All-NPU,4,21,NPU,0.0836,0.0
mixed2,4,2,NPU,0.109,0.0
mixed2,4,22,NPU,0.1912,0.0
mixed2,4,3,GPU,0.0993,47.6
mixed2,4,21,GPU,0.0756,52.8
All-GPU,6,2,GPU,0.0882,71.2
All-GPU,6,22,GPU,0.1929,70.5
All-GPU,6,3,GPU,0.0904,72.6
All-GPU,6,21,GPU,0.0713,70.8
All-NPU,6,2,NPU,0.109,0.0
All-NPU,6,22,NPU,0.1912,0.0
All-NPU,6,3,NPU,0.1214,0.0
All-NPU,6,21,NPU,0.0836,0.0
mixed2,6,2,NPU,0.109,0.0
mixed2,6,22,NPU,0.1912,0.0
mixed2,6,3,GPU,0.0928,58.0
mixed2,6,21,GPU,0.0693,58.0
All-GPU,8,2,GPU,0.0861,80.1
All-GPU,8,22,GPU,0.1888,79.9
All-GPU,8,3,GPU,0.0871,80.2
All-GPU,8,21,GPU,0.066,80.9
All-NPU,8,2,NPU,0.109,0.0
All-NPU,8,22,NPU,0.1912,0.0
All-NPU,8,3,NPU,0.1214,0.0
All-NPU,8,21,NPU,0.0836,0.0
mixed2,8,2,NPU,0.109,0.0
mixed2,8,22,NPU,0.1912,0.0
mixed2,8,3,GPU,0.0836,65.0
mixed2,8,21,GPU,0.065,67.2
