Top-1 Accuracy,0.3043
Top-5 Accuracy,0.6087
Top-1 Accuracy (>= 3 models),0.0714
Top-5 Accuracy (>= 3 models),0.3571
Average (>= 8 models),,0.68,0.52,0.58
Average (>= 7 models),,0.73,0.6,0.61
Average (>= 6 models),,0.78,0.61,0.66
Average (>= 5 models),,0.83,0.72,0.69
Average (>= 4 models),,0.84,0.76,0.69
Average (>= 3 models),,0.85,0.8,0.69
Average,,0.91,0.65,0.78
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_r_r_s_s_t_v_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_61</font>),0.69,0.49,0.592
model_schedules_g_m_r_r_s_s_t_v_y_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_254</font>),0.68,0.56,0.568
model_schedules_g_m_r_r_s_s_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_54</font>),0.83,0.75,0.68
model_schedules_g_m_r_r_s_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_48</font>),0.92,0.65,0.79
model_schedules_g_m_r_r_t_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.84,0.832
model_schedules_g_m_r_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_5</font>),0.91,0.92,0.726
model_schedules_g_m_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_6</font>),0.93,0.85,0.76
model_schedules_g_m_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_3</font>),0.99,0.9,0.81
model_schedules_g_r_y_x3.yaml,<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_8</font>),0.95,0.99,0.752
model_schedules_g_t_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_g_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),0.98,0.0,0.98
model_schedules_m_r_r_s_s_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_15</font>),1.0,1.0,0.8
model_schedules_m_r_r_t_y_x3.yaml,<font color='red'>combination_9</font> (Actual: <font color='blue'>combination_14</font>),0.6,0.85,0.43
model_schedules_m_r_r_v_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_8</font>),0.93,0.62,0.806
model_schedules_m_r_r_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_7</font>),0.78,0.98,0.584
model_schedules_m_r_t_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_4</font>),0.87,0.84,0.702
model_schedules_m_x3.yaml,<font color='purple'>combination_1</font>,1.0,1.0,0.8
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_6</font>),0.83,0.8,0.67
model_schedules_resnet_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),1.0,1.0,0.8
model_schedules_shufflenet_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_t_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_v_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_y_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.99,0.802
